Vintage,Country_id,Points,Price,Name,Varietal_id,Winery
1/1/14,21,88,$15.00,Stobi 2014 Å½ilavka (Tikves),1,Stobi
1/1/05,14,85,$20.00,Papagiannakos 2005 Agiorgitiko (Attica),2,Papagiannakos
1/1/06,14,87,$25.00,Palivou 2006 Agiorgitiko (Nemea),2,Palivou
1/1/06,14,86,$30.00,Papaioannou 2006 Old Vines Single Vineyard Agiorgitiko (Nemea),2,Papaioannou
1/1/08,14,90,$50.00,Nemeion Estate 2008 Reserve Agiorgitiko (Nemea),2,Nemeion Estate
1/1/10,14,88,$23.00,Nemeion Estate 2010 Agiorgitiko (Nemea),2,Nemeion Estate
1/1/11,14,85,$17.00,Boutari 2011 Agiorgitiko (Nemea),2,Boutari
1/1/12,14,87,$25.00,Semeli 2012 Reserve Agiorgitiko (Nemea),2,Semeli
1/1/12,14,85,$13.00,Zacharias 2012 Agiorgitiko (Nemea),2,Zacharias
1/1/01,18,90,$54.00,Terredora 2001 Fatica Contadina (Taurasi),3,Terredora
1/1/01,18,92,$70.00,Terredora 2001 Riserva CampoRe (Taurasi),3,Terredora
1/1/01,18,91,,Bisceglia 2001 Riserva (Aglianico del Vulture),3,Bisceglia
1/1/01,18,93,$65.00,Mastroberardino 2001 Naturalis Historia Aglianico (Irpinia),3,Mastroberardino
1/1/03,18,83,$16.00,Ocone 2003 Aglianico del Taburno,3,Ocone
1/1/03,18,88,$42.00,Terre degli Svevi 2003 Re Manfredi Serpara (Aglianico del Vulture),3,Terre degli Svevi
1/1/04,18,84,,Cantine Elmi 2004 Aglianico (Campania),3,Cantine Elmi
1/1/04,18,94,$60.00,Antonio Caggiano 2004 Vigna Macchia dei Goti (Taurasi),3,Antonio Caggiano
1/1/04,18,88,,Bisceglia 2004 Gudarrá (Aglianico del Vulture),3,Bisceglia
1/1/04,18,89,,Pietracupa 2004 Taurasi,3,Pietracupa
1/1/04,18,90,,Cantina Giardino 2004 Nude Aglianico (Irpinia),3,Cantina Giardino
1/1/04,18,89,$39.00,I Capitani 2004 Bosco Faiano (Taurasi),3,I Capitani
1/1/04,18,92,$73.00,Paternoster 2004 Riserva Don Anselmo (Aglianico del Vulture),3,Paternoster
1/1/05,18,90,$35.00,Lucania 2005 Damaschito (Aglianico del Vulture),3,Lucania
1/1/05,18,87,,Mastroberardino 2005 Aglianico (Campania),3,Mastroberardino
1/1/05,18,92,,Villa Matilde 2005 Tenuta di Altavilla (Taurasi),3,Villa Matilde
1/1/06,18,87,$24.00,Ocone 2006 Vigna Pezza La Corte (Aglianico del Taburno),3,Ocone
1/1/06,18,86,$13.00,Ocone 2006 Aglianico del Taburno,3,Ocone
1/1/06,18,91,$60.00,Terredora 2006 CampoRe Riserva (Taurasi),3,Terredora
1/1/06,18,86,$24.00,Macchialupa 2006 Aglianico (Campania),3,Macchialupa
1/1/07,18,88,,Rocca del Principe 2007 Taurasi,3,Rocca del Principe
1/1/07,18,92,$60.00,Donnachiara 2007 Riserva (Taurasi),3,Donnachiara
1/1/07,18,91,$45.00,Bisceglia 2007 Gudarrà Riserva (Aglianico del Vulture),3,Bisceglia
1/1/07,18,94,$60.00,Mastroberardino 2007 Radici (Taurasi),3,Mastroberardino
1/1/07,18,91,$48.00,Vesevo 2007 Taurasi,3,Vesevo
1/1/07,18,93,$90.00,Mastroberardino 2007 Naturalis Historia (Taurasi),3,Mastroberardino
1/1/07,18,90,$40.00,Tormaresca 2007 Bocca di Lupo Aglianico (Castel del Monte),3,Tormaresca
